"state","population","measure_name","measure_abbreviation","state_rate","ffy","reporting_date","postcovid"
"Mississippi","Medicaid","Comprehensive Diabetes Care: LDL-C Screening","LDL-AD","70.6",2014,2015-06-01,0
"Alabama","Medicaid","Breast Cancer Screening","BCS-AD","41.2",2014,2015-06-01,0
"Delaware","Medicaid","Chlamydia Screening in Women","CHL-AD","72.6",2014,2015-06-01,0
"West Virginia","Medicaid","Annual Monitoring for Patients on Persistent Medications","MPM-AD","85.9",2014,2015-06-01,0
"Minnesota","Medicaid","Chlamydia Screening in Women","CHL-AD","52.2",2014,2015-06-01,0
"California","Medicaid","Postpartum Care Rate","PPC-AD","48.7",2014,2015-06-01,0
"Michigan","Medicaid","Chlamydia Screening in Women","CHL-AD","69.6",2014,2015-06-01,0
"Indiana","Medicaid","Chlamydia Screening in Women","CHL-AD","53.8",2014,2015-06-01,0
"Texas","Medicaid","Chlamydia Screening in Women","CHL-AD","60.4",2014,2015-06-01,0
"Delaware","Medicaid","Antidepressant Medication Management","AMM-AD","33.9",2014,2015-06-01,0
"Alabama","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","34.8",2014,2015-06-01,0
"Texas","Medicaid","Breast Cancer Screening","BCS-AD","51.4",2014,2015-06-01,0
"Montana","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","63.3",2014,2015-06-01,0
"Montana","Medicaid","Breast Cancer Screening","BCS-AD","46.8",2014,2015-06-01,0
"Delaware","Medicaid","Cervical Cancer Screening","CCS-AD","68",2014,2015-06-01,0
"Georgia","Medicaid","Cervical Cancer Screening","CCS-AD","52.6",2014,2015-06-01,0
"Georgia","Medicaid","Adult Body Mass Index Assessment","ABA-AD","51.3",2014,2015-06-01,0
"Michigan","Medicaid","Cervical Cancer Screening","CCS-AD","66.1",2014,2015-06-01,0
"New Hampshire","Medicaid","Breast Cancer Screening","BCS-AD","57.1",2014,2015-06-01,0
"Michigan","Medicaid","Annual Monitoring for Patients on Persistent Medications","MPM-AD","81.6",2014,2015-06-01,0
"Texas","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","56.1",2014,2015-06-01,0
"Massachusetts","Medicaid","Chlamydia Screening in Women","CHL-AD","72.3",2014,2015-06-01,0
"Massachusetts","Medicaid","Cervical Cancer Screening","CCS-AD","73.5",2014,2015-06-01,0
"Mississippi","Medicaid","Breast Cancer Screening","BCS-AD","41.8",2014,2015-06-01,0
"New York","Medicaid","Antidepressant Medication Management","AMM-AD","35.7",2014,2015-06-01,0
"New Hampshire","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","81.5",2014,2015-06-01,0
"New Hampshire","Medicaid","Cervical Cancer Screening","CCS-AD","58",2014,2015-06-01,0
"Massachusetts","Medicaid","Breast Cancer Screening","BCS-AD","71.2",2014,2015-06-01,0
"Indiana","Medicaid","Breast Cancer Screening","BCS-AD","55.5",2014,2015-06-01,0
"Arkansas","Medicaid","Comprehensive Diabetes Care: LDL-C Screening","LDL-AD","57.8",2014,2015-06-01,0
"Alabama","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","21",2014,2015-06-01,0
"Montana","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","63.5",2014,2015-06-01,0
"Delaware","Medicaid","Comprehensive Diabetes Care: LDL-C Screening","LDL-AD","74",2014,2015-06-01,0
"Georgia","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","38",2014,2015-06-01,0
"Michigan","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","79.2",2014,2015-06-01,0
"Arkansas","Medicaid","Cervical Cancer Screening","CCS-AD","39.5",2014,2015-06-01,0
"California","Medicaid","Comprehensive Diabetes Care: LDL-C Screening","LDL-AD","57.9",2014,2015-06-01,0
"Arkansas","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","69.5",2014,2015-06-01,0
"Texas","Medicaid","Postpartum Care Rate","PPC-AD","58.6",2014,2015-06-01,0
"New York","Medicaid","Antidepressant Medication Management","AMM-AD","47.8",2014,2015-06-01,0
"Delaware","Medicaid","Postpartum Care Rate","PPC-AD","66.1",2014,2015-06-01,0
"Massachusetts","Medicaid","Annual Monitoring for Patients on Persistent Medications","MPM-AD","86.1",2014,2015-06-01,0
"Mississippi","Medicaid","Antidepressant Medication Management","AMM-AD","31",2014,2015-06-01,0
"Indiana","Medicaid","Postpartum Care Rate","PPC-AD","54.1",2014,2015-06-01,0
"Indiana","Medicaid","Cervical Cancer Screening","CCS-AD","58.2",2014,2015-06-01,0
"New York","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","50.1",2014,2015-06-01,0
"Montana","Medicaid","Annual Monitoring for Patients on Persistent Medications","MPM-AD","82.3",2014,2015-06-01,0
"Iowa","Medicaid","Antidepressant Medication Management","AMM-AD","19.7",2014,2015-06-01,0
"Mississippi","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","78.3",2014,2015-06-01,0
"New York","Medicaid","Chlamydia Screening in Women","CHL-AD","69.4",2014,2015-06-01,0
"Texas","Medicaid","Antidepressant Medication Management","AMM-AD","31.2",2014,2015-06-01,0
"Alabama","Medicaid","Cervical Cancer Screening","CCS-AD","35.2",2014,2015-06-01,0
"Massachusetts","Medicaid","Adult Body Mass Index Assessment","ABA-AD","89",2014,2015-06-01,0
"Pennsylvania","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","64.3",2014,2015-06-01,0
"Iowa","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","52.4",2014,2015-06-01,0
"Massachusetts","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","83.9",2014,2015-06-01,0
"New Hampshire","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","44",2014,2015-06-01,0
"Montana","Medicaid","Antidepressant Medication Management","AMM-AD","41",2014,2015-06-01,0
"Iowa","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","81.4",2014,2015-06-01,0
"Texas","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","33.6",2014,2015-06-01,0
"Pennsylvania","Medicaid","Cervical Cancer Screening","CCS-AD","67.2",2014,2015-06-01,0
"Arkansas","Medicaid","Postpartum Care Rate","PPC-AD","20.2",2014,2015-06-01,0
"California","Medicaid","Antidepressant Medication Management","AMM-AD","52",2014,2015-06-01,0
"Georgia","Medicaid","Antidepressant Medication Management","AMM-AD","38.1",2014,2015-06-01,0
"Alabama","Medicaid","Comprehensive Diabetes Care: LDL-C Screening","LDL-AD","64.4",2014,2015-06-01,0
"Indiana","Medicaid","Annual Monitoring for Patients on Persistent Medications","MPM-AD","84.9",2014,2015-06-01,0
"Massachusetts","Medicaid","Antidepressant Medication Management","AMM-AD","30.7",2014,2015-06-01,0
"California","Medicaid","Chlamydia Screening in Women","CHL-AD","65.1",2014,2015-06-01,0
"Arkansas","Medicaid","Antidepressant Medication Management","AMM-AD","24.9",2014,2015-06-01,0
"Indiana","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","76.5",2014,2015-06-01,0
"Pennsylvania","Medicaid","Chlamydia Screening in Women","CHL-AD","64.9",2014,2015-06-01,0
"Pennsylvania","Medicaid","Comprehensive Diabetes Care: Hemoglobin A1c Testing","HA1C-AD","84.6",2014,2015-06-01,0
"Texas","Medicaid","Cervical Cancer Screening","CCS-AD","50",2014,2015-06-01,0
"Georgia","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","57.9",2014,2015-06-01,0
"Connecticut","Medicaid","Follow-Up After Hospitalization for Mental Illness","FUH-AD","38.2",2014,2015-06-01,0
"Georgia","Medicaid","Annual Monitoring for Patients on Persistent Medications","MPM-AD","87.1",2014,2015-06-01,0
"Georgia","Medicaid","Postpartum Care Rate","PPC-AD","37.4",2014,2015-06-01,0
