"State","total_enrolled","total_eligible","penetration"
"Alabama",597405,1088369,54.89
"Alaska",1904,106905,1.78
"American Samoa",53,4448,1.19
"Arizona",684299,1432120,47.78
"Arkansas",251685,662102,38.01
"California",3253218,6668124,48.79
"Colorado",484576,990950,48.9
"Connecticut",377135,721100,52.3
"Delaware",62944,231057,27.24
"Florida",2645972,4934393,53.62
"Georgia",947298,1860951,50.9
"Guam",59,19041,0.31
"Hawaii",153710,296010,51.93
"Idaho",164720,373410,44.11
"Illinois",893774,2333288,38.31
"Indiana",587110,1327302,44.23
"Iowa",210810,661757,31.86
"Kansas",165456,569264,29.06
"Kentucky",470836,964167,48.83
"Louisiana",466689,918232,50.82
"Maine",193064,365123,52.88
"Maryland",211528,1101483,19.2
"Massachusetts",448165,1406555,31.86
"Michigan",1224804,2174992,56.31
"Minnesota",613678,1100277,55.77
"Mississippi",222441,626349,35.51
"Missouri",620482,1289605,48.11
"Montana",63662,251684,25.29
"Nebraska",107426,369220,29.1
"Nevada",270943,576070,47.03
"New Hampshire",96931,327571,29.59
"New Jersey",635773,1696015,37.49
"New Mexico",208168,449342,46.33
"New York",1846594,3783484,48.81
"North Carolina",1051862,2134746,49.27
"North Dakota",38388,141774,27.08
"Northern Mariana Islands",42,3021,1.39
"Ohio",1282522,2451786,52.31
"Oklahoma",273899,778027,35.2
"Oregon",476380,919006,51.84
"Pennsylvania",1414138,2860348,49.44
"Puerto Rico",638989,777806,82.15
"Rhode Island",129473,234037,55.32
"South Carolina",479346,1169135,41
"South Dakota",57099,189672,30.1
"Tennessee",697358,1431583,48.71
"Texas",2254369,4535609,49.7
"Utah",207766,441796,47.03
"Vermont",43632,159360,27.38
"Virgin Islands",8554,20786,41.15
"Virginia",545043,1616355,33.72
"Washington",628816,1466391,42.88
"Washington D.C.",27296,95528,28.57
"West Virginia",209888,445266,47.14
"Wisconsin",664569,1262257,52.65
"Wyoming",9823,121659,8.07
