state,domain,reporting_program,measure_name,measure_abbreviation,measure_type,rate_definition,ffy,population,methodology,state_rate,number_of_states_reporting,median,bottom_quartile,top_quartile,notes,source,statespecific_comments,rate_used_in_calculating_state_mean_and_median,_input_file_date
Alabama,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2022,Medicaid,Administrative,37.5,46,48.8,43.6,54,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.","""Rate includes FFS and PCCM populations. State reported that the rate excludes the following populations: """"Since Medicare claims are unavailable"," Alabama Medicaid Agency recipients who are dually enrolled in Medicaid and Medicare are excluded from the eligible population.""""""",2022-12-31
Florida,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2022,Medicaid,Administrative,48.6,46,48.8,43.6,54,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.","""Rate includes managed care population (13 MCOs). The state described the """"other"""" data sources used to calculate the measure as the following: """"Data submitted by the health plans."""" Rate was audited or validated. The Ages 50 to 64 rate includes individuals ages 50-74.""",Yes,2022-12-31
Georgia,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2022,Medicaid,Administrative,47.8,46,48.8,43.6,54,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.","""Rate includes managed care population (3 MCOs). The state described the """"other"""" data sources used to calculate the measure as the following: """"The state's EQRO uses the data from the care management organizations' (CMOs') audited Interactive Data Submission System (IDSS) submissions as well as the performance measure rates from the performance measure validation (PMV) audits that the EQRO conducts for the CMOs", which is based on the CMOs' claims/encounter,2022-12-31
Maryland,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2022,Medicaid,Administrative,63.4,46,48.8,43.6,54,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.","""Rate includes managed care population (9 MCOs). State reported that the rate excludes the following populations: """"The Medicare and Medicaid Dually-Eligible Population are carved out of managed care."""" Rate was audited or validated.""",Yes,2022-12-31
Michigan,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2022,Medicaid,Administrative,51.5,46,48.8,43.6,54,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.","""Rate includes FFS and managed care populations (9 MCOs). The state described the """"other"""" data sources used to calculate the measure as the following: """"State of MI Data Warehouse (contains copy of MMIS data).""""""",Yes,2022-12-31
Mississippi,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2022,Medicaid,Administrative,47.8,46,48.8,43.6,54,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.",Rate includes managed care population (3 MCOs).,Yes,2022-12-31
Nevada,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2022,Medicaid,Administrative,46.2,46,48.8,43.6,54,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.",Rate includes managed care population (3 MCOs). Rate was audited or validated.,Yes,2022-12-31
New Hampshire,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2022,Medicaid,Administrative,50.9,46,48.8,43.6,54,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.","""Rate includes managed care population (3 MCOs). FFS enrollees and Medicare and Medicaid dually-eligible population are excluded. The state described the """"other"""" data sources used to calculate the measure as the following: """"The managed care organizations' data are from their claims system."""" Rate was audited or validated. Submitted values are based on HEDIS data for reporting year 2022"," yet the age groups were split up according to the CMS specified age group for that measure where it was applicable. Medicaid enrollment continues to increase due to the population's Medicaid eligibility being protected under the ongoing public health emergency (PHE).""",2022-12-31
New Mexico,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2022,Medicaid,Administrative,36.1,46,48.8,43.6,54,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.","""Rate includes managed care population (3 MCOs). The state described the """"other"""" data sources used to calculate the measure as the following: """"MCO Audited HEDIS."""" Rate was audited or validated. The data reported is an aggregate total of all 3 MCOs administrative data. Calendar year 2021 HEDIS does not provide these measures by the requested age group of 65+.""",Yes,2022-12-31
New York,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening: Ages 50 to 74,BCS-AD,Higher rates are better for this measure,Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50 to 64,2022,Medicaid,Administrative,57.6,46,48.8,43.6,54,null,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.",Rate includes FFS and managed care populations (59 MCOs). Rate was audited or validated. State reported using HEDIS age groups. Numerator and denominator include age 65+ population.,Yes,2022-12-31
