State,Domain,"Reporting Program","Measure Name","Measure Abbreviation","Measure Description",FFY,Population,Methodology,"State Rate","Number of States Reporting",Median,"25th Percentile","75th Percentile",Notes,Source,Location
Alabama,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening",CCS-AD,"Percentage Screened for Cervical Cancer: 21-64",2015,Medicaid,Administrative,39.5,36,56.0,45.2,62.5,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(32.799, -86.8073)"
"New Hampshire","Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening",CCS-AD,"Percentage Screened for Cervical Cancer: 21-64",2015,Medicaid,Hybrid,55.9,36,56.0,45.2,62.5,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(43.4108, -71.5653)"
Texas,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening",CCS-AD,"Percentage Screened for Cervical Cancer: 21-64",2015,Medicaid,Administrative,55.0,36,56.0,45.2,62.5,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(31.106, -97.6475)"
"New York","Behavioral Health Care","Adult Core Set","Medical Assistance With Smoking and Tobacco Use Cessation",MSC-AD,"Percentage of Tobacco Users Advised to Quit",2015,"Medicaid & Dual Eligibles","NAM CAHPS",76.6,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(42.1497, -74.9384)"
Tennessee,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment",IET-AD,"Percentage with Alcohol or Drug Dependence who Initiated Treatment: 18-64",2015,Medicaid,Administrative,37.2,26,37.1,32.2,42.4,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(35.7449, -86.7489)"
Texas,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment",ABA-AD,"Percentage with a BMI Percentile Documented: 18-64",2015,Medicaid,Hybrid,78.1,29,76.6,9.7,82.8,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(31.106, -97.6475)"
California,"Behavioral Health Care","Adult Core Set","Medical Assistance With Smoking and Tobacco Use Cessation",MSC-AD,"Percentage of Tobacco Users Advised to Quit",2015,"Medicaid & Dual Eligibles","NAM CAHPS",66.8,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(36.17, -119.7462)"
Minnesota,"Behavioral Health Care","Adult Core Set","Medical Assistance With Smoking and Tobacco Use Cessation",MSC-AD,"Percentage of Tobacco Users Discussed Cessation Strategies",2015,"Medicaid & Dual Eligibles","NAM CAHPS",49.9,47,37.8,34.4,42.9,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(45.7326, -93.9196)"
Arkansas,"Behavioral Health Care","Adult Core Set","Medical Assistance With Smoking and Tobacco Use Cessation",MSC-AD,"Percentage of Tobacco Users Advised to Quit",2015,"Medicaid & Dual Eligibles","NAM CAHPS",71.1,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(34.9513, -92.3809)"
Missouri,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment",IET-AD,"Percentage with Alcohol or Drug Dependence who Initiated and Engaged in Treatment: 18-64",2015,"Medicaid & CHIP",Administrative,17.2,26,14.7,6.9,20.1,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(38.4623, -92.302)"
"New York","Behavioral Health Care","Adult Core Set","Antidepressant Medication Management",AMM-AD,"Percentage Treated with Antidepressant Medication for 6 Months: 18-64",2015,Medicaid,Administrative,36.5,29,33.7,29.4,37.2,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(42.1497, -74.9384)"
Delaware,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment",IET-AD,"Percentage with Alcohol or Drug Dependence who Initiated and Engaged in Treatment: 18-64",2015,"Medicaid & Dual Eligibles",Administrative,16.1,26,14.7,6.9,20.1,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(39.3498, -75.5148)"
Kansas,"Behavioral Health Care","Adult Core Set","Medical Assistance With Smoking and Tobacco Use Cessation",MSC-AD,"Percentage of Tobacco Users Discussed Cessation Strategies",2015,"Medicaid & Dual Eligibles","NAM CAHPS",36.8,47,37.8,34.4,42.9,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(38.5111, -96.8005)"
"North Carolina","Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening",BCS-AD,"Percentage of Women Receiving Mammogram: 50-64",2015,Medicaid,Administrative,34.8,33,51.5,45.2,56.3,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(35.6411, -79.8431)"
"New Hampshire","Behavioral Health Care","Adult Core Set","Antidepressant Medication Management",AMM-AD,"Percentage Treated with Antidepressant Medication for 6 Months: 18-64",2015,"Medicaid & Dual Eligibles",Administrative,33.5,29,33.7,29.4,37.2,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(43.4108, -71.5653)"
Alabama,"Behavioral Health Care","Adult Core Set","Adherence to Antipsychotics for Individuals with Schizophrenia",SAA-AD,"Percentage with Schizophrenia who Remained on Antipsychotic Medication: 19-64",2015,Medicaid,Administrative,58.1,25,62.4,58.1,68.7,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(32.799, -86.8073)"
Oregon,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment",IET-AD,"Percentage with Alcohol or Drug Dependence who Initiated Treatment: 18-64",2015,"Medicaid & CHIP & Dual Eligibles",Administrative,39.1,26,37.1,32.2,42.4,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(44.5672, -122.1269)"
Mississippi,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management",AMM-AD,"Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64",2015,Medicaid,Administrative,48.8,29,48.6,44.1,51.9,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(32.7673, -89.6812)"
"South Carolina","Behavioral Health Care","Adult Core Set","Medical Assistance With Smoking and Tobacco Use Cessation",MSC-AD,"Percentage of Tobacco Users Advised to Quit",2015,"Medicaid & Dual Eligibles","NAM CAHPS",70.8,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(33.8191, -80.9066)"
Colorado,"Behavioral Health Care","Adult Core Set","Adherence to Antipsychotics for Individuals with Schizophrenia",SAA-AD,"Percentage with Schizophrenia who Remained on Antipsychotic Medication: 19-64",2015,"Medicaid & Dual Eligibles",Administrative,65.7,25,62.4,58.1,68.7,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(39.0646, -105.3272)"
Pennsylvania,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64",2015,Medicaid,Administrative,64.2,30,57.3,45.6,69.1,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(40.5773, -77.264)"
Louisiana,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management",AMM-AD,"Percentage Treated with Antidepressant Medication for 6 Months: 18-64",2015,"Medicaid & CHIP",Administrative,27.8,29,33.7,29.4,37.2,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(31.1801, -91.8749)"
Minnesota,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64",2015,"Medicaid & Dual Eligibles",Administrative,87.8,37,81.9,77.6,85.2,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(45.7326, -93.9196)"
"New Mexico","Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64",2015,Medicaid,Administrative,63.1,37,81.9,77.6,85.2,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(34.8375, -106.2371)"
Texas,"Behavioral Health Care","Adult Core Set","Medical Assistance With Smoking and Tobacco Use Cessation",MSC-AD,"Percentage of Tobacco Users Discussed Cessation Medications",2015,"Medicaid & Dual Eligibles","NAM CAHPS",32.7,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(31.106, -97.6475)"
Massachusetts,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment",IET-AD,"Percentage with Alcohol or Drug Dependence who Initiated Treatment: 18-64",2015,Medicaid,Administrative,44.8,26,37.1,32.2,42.4,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(42.2373, -71.5314)"
Michigan,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment",ABA-AD,"Percentage with a BMI Percentile Documented: 18-64",2015,Medicaid,Administrative,28.7,29,76.6,9.7,82.8,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(43.3504, -84.5603)"
"South Carolina","Behavioral Health Care","Adult Core Set","Adherence to Antipsychotics for Individuals with Schizophrenia",SAA-AD,"Percentage with Schizophrenia who Remained on Antipsychotic Medication: 19-64",2015,Medicaid,Administrative,62.4,25,62.4,58.1,68.7,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(33.8191, -80.9066)"
Connecticut,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening",CCS-AD,"Percentage Screened for Cervical Cancer: 21-64",2015,Medicaid,Hybrid,66.1,36,56.0,45.2,62.5,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(41.5834, -72.7622)"
Texas,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64",2015,Medicaid,Administrative,36.5,30,37.7,30.9,56.1,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(31.106, -97.6475)"
"North Carolina","Behavioral Health Care","Adult Core Set","Antidepressant Medication Management",AMM-AD,"Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64",2015,Medicaid,Administrative,44.5,29,48.6,44.1,51.9,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(35.6411, -79.8431)"
Alabama,"Behavioral Health Care","Adult Core Set","Medical Assistance With Smoking and Tobacco Use Cessation",MSC-AD,"Percentage of Tobacco Users Advised to Quit",2015,"Medicaid & Dual Eligibles","NAM CAHPS",74.6,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(32.799, -86.8073)"
Montana,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications",MPM-AD,"Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64",2015,"Medicaid & Dual Eligibles",Administrative,80.3,32,85.6,82.8,88.3,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(46.9048, -110.3261)"
Iowa,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management",AMM-AD,"Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64",2015,"Medicaid & Dual Eligibles",Administrative,37.9,29,48.6,44.1,51.9,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(42.0046, -93.214)"
Delaware,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64",2015,"Medicaid & Dual Eligibles",Administrative,69.1,30,57.3,45.6,69.1,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(39.3498, -75.5148)"
Oklahoma,"Behavioral Health Care","Adult Core Set","Medical Assistance With Smoking and Tobacco Use Cessation",MSC-AD,"Percentage of Tobacco Users Discussed Cessation Medications",2015,"Medicaid & Dual Eligibles","NAM CAHPS",44.1,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(35.5376, -96.9247)"
Illinois,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management",AMM-AD,"Percentage Treated with Antidepressant Medication for 6 Months: 18-64",2015,"Medicaid & CHIP",Administrative,19.6,29,33.7,29.4,37.2,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(40.3363, -89.0022)"
Montana,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: 21-24",2015,"Medicaid & Dual Eligibles",Administrative,68.2,35,57.1,54.5,64.5,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(46.9048, -110.3261)"
Maryland,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening",BCS-AD,"Percentage of Women Receiving Mammogram: 50-64",2015,"Medicaid & CHIP",Administrative,63.5,33,51.5,45.2,56.3,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(39.0724, -76.7902)"
Connecticut,"Behavioral Health Care","Adult Core Set","Adherence to Antipsychotics for Individuals with Schizophrenia",SAA-AD,"Percentage with Schizophrenia who Remained on Antipsychotic Medication: 19-64",2015,Medicaid,Administrative,68.7,25,62.4,58.1,68.7,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(41.5834, -72.7622)"
Louisiana,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: 21-24",2015,Medicaid,Administrative,62.2,35,57.1,54.5,64.5,,"Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.","(31.1801, -91.8749)"
