State,Domain,"Reporting Program","Measure Name","Measure Abbreviation","Rate Definition",FFY,Population,Methodology,"State Rate","Number of States Reporting",Median,"Bottom Quartile","Top Quartile",Notes,Source,Location
Louisiana,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64",2016,"Medicaid & CHIP",Hybrid,62.4,33,76.4,39.3,85,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(31.1801, -91.8749)"
Missouri,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2016,"Medicaid & CHIP",Administrative,27.8,33,37.1,31.2,39.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(38.4623, -92.302)"
Iowa,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18-64",2016,Medicaid,Administrative,52.9,33,52.4,46,55.5,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(42.0046, -93.214)"
Georgia,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64",2016,"Medicaid & CHIP",Hybrid,67.6,33,76.4,39.3,85,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(32.9866, -83.6487)"
Connecticut,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2016,"Medicaid & CHIP",Administrative,45.9,33,37.1,31.2,39.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(41.5834, -72.7622)"
Alabama,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64",2016,Medicaid,Administrative,11,33,76.4,39.3,85,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(32.799, -86.8073)"
"North Carolina","Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64",2016,Medicaid,Administrative,15.2,33,76.4,39.3,85,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(35.6411, -79.8431)"
Arkansas,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2016,Medicaid,Administrative,18.1,33,37.1,31.2,39.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(34.9513, -92.3809)"
"South Carolina","Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64",2016,Medicaid,Administrative,12.2,33,76.4,39.3,85,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(33.8191, -80.9066)"
Louisiana,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18-64",2016,"Medicaid & CHIP",Administrative,43.9,33,52.4,46,55.5,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(31.1801, -91.8749)"
Colorado,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2016,"Medicaid & Dual Eligibles",Administrative,52.8,33,37.1,31.2,39.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(39.0646, -105.3272)"
"New York","Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2016,Medicaid,Administrative,37.8,33,37.1,31.2,39.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(42.1497, -74.9384)"
"Rhode Island","Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18-64",2016,"Medicaid & CHIP",Administrative,55.5,33,52.4,46,55.5,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(41.6772, -71.5101)"
Iowa,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64",2016,Medicaid,Administrative,8.6,33,76.4,39.3,85,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(42.0046, -93.214)"
Vermont,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64",2016,"Medicaid & CHIP & Dual Eligibles",Hybrid,74.7,33,76.4,39.3,85,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(44.0407, -72.7093)"
Iowa,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2016,Medicaid,Administrative,39.6,33,37.1,31.2,39.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(42.0046, -93.214)"
Michigan,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18-64",2016,Medicaid,Administrative,55.5,33,52.4,46,55.5,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(43.3504, -84.5603)"
Ohio,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2016,"Medicaid & CHIP",Administrative,43.1,33,37.1,31.2,39.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(40.3736, -82.7755)"
Mississippi,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64",2016,Medicaid,Hybrid,71,33,76.4,39.3,85,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(32.7673, -89.6812)"
Minnesota,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2016,"Medicaid & Dual Eligibles",Administrative,36,33,37.1,31.2,39.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(45.7326, -93.9196)"
Hawaii,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18-64",2016,"Medicaid & Dual Eligibles",Administrative,47.1,33,52.4,46,55.5,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(21.1098, -157.5311)"
"New Hampshire","Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64",2016,Medicaid,Hybrid,83.4,33,76.4,39.3,85,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(43.4108, -71.5653)"
Ohio,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening: Ages 21-64",CCS-AD,"Percentage of Women Screened for Cervical Cancer: Ages 21-64",2016,"Medicaid & CHIP",Administrative,44.3,39,52.8,47.9,62.8,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(40.3736, -82.7755)"
"District of Columbia","Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2016,"Medicaid & CHIP & Dual Eligibles",Administrative,33.9,33,37.1,31.2,39.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(38.8964, -77.0262)"
"West Virginia","Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64",2016,Medicaid,Hybrid,89.2,33,76.4,39.3,85,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(38.468, -80.9696)"
"District of Columbia","Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64",2016,"Medicaid & CHIP & Dual Eligibles",Hybrid,77.3,33,76.4,39.3,85,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(38.8964, -77.0262)"
California,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18-64",2016,Medicaid,Administrative,52.7,33,52.4,46,55.5,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(36.17, -119.7462)"
"New Hampshire","Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18-64",2016,Medicaid,Administrative,59.2,33,52.4,46,55.5,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(43.4108, -71.5653)"
Oklahoma,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64",2016,"Medicaid & CHIP & Dual Eligibles",Administrative,10.2,33,76.4,39.3,85,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(35.5376, -96.9247)"
Kentucky,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2016,Medicaid,Administrative,43.7,33,37.1,31.2,39.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(37.669, -84.6514)"
Hawaii,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64",2016,Medicaid,"Administrative & Hybrid",76.4,33,76.4,39.3,85,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(21.1098, -157.5311)"
Colorado,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64",2016,"Medicaid & Dual Eligibles",Hybrid,72.2,33,76.4,39.3,85,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(39.0646, -105.3272)"
"Rhode Island","Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64",2016,"Medicaid & CHIP",Hybrid,94,33,76.4,39.3,85,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(41.6772, -71.5101)"
Massachusetts,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2016,Medicaid,Administrative,32.5,33,37.1,31.2,39.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(42.2373, -71.5314)"
Pennsylvania,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64",2016,Medicaid,Hybrid,86.1,33,76.4,39.3,85,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(40.5773, -77.264)"
Michigan,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64",2016,Medicaid,Administrative,39.3,33,76.4,39.3,85,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(43.3504, -84.5603)"
"District of Columbia","Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18-64",2016,"Medicaid & CHIP & Dual Eligibles",Administrative,48,33,52.4,46,55.5,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(38.8964, -77.0262)"
"New Jersey","Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64",2016,"Medicaid & CHIP",Hybrid,85.7,33,76.4,39.3,85,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(40.314, -74.5089)"
Ohio,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18-64",2016,"Medicaid & CHIP",Administrative,57.6,33,52.4,46,55.5,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(40.3736, -82.7755)"
Hawaii,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2016,"Medicaid & Dual Eligibles",Administrative,32.1,33,37.1,31.2,39.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(21.1098, -157.5311)"
