State,Domain,"Reporting Program","Measure Name","Measure Abbreviation","Rate Definition",FFY,Population,Methodology,"State Rate","Number of States Reporting",Median,"Bottom Quartile","Top Quartile",Notes,"State Specific Comments",Source,"Rate Used in Calculating State Mean and Median"
Wyoming,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64",2018,"Medicaid & Dual Eligibles",Administrative,22.7,41,54.6,50.9,59.1,,"Rate includes FFS population.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Alabama,"Behavioral Health Care","Adult Core Set","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64",SAA-AD,"Percentage with Schizophrenia who were Dispensed and Remained on Antipsychotic Medication for at Least 80 Percent of their Treatment Period: Ages 19-64",2018,Medicaid,Administrative,53.9,33,57.7,54.4,64.9,,"Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Alabama,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18-64",2018,Medicaid,Administrative,45.4,33,50.3,47,52.6,,"Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Alabama,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2018,Medicaid,Administrative,31.0,33,34.8,30.6,37.6,,"Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Alabama,"Behavioral Health Care","Adult Core Set","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64",SSD-AD,"Percentage with Schizophrenia or Bipolar Disorder who were Dispensed an Antipsychotic Medication and had a Diabetes Screening Test: Ages 18-64",2018,Medicaid,Administrative,77.1,32,80.1,76.9,82.4,,"Rate includes FFS and PCCM populations. Rate excludes Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Alabama,"Behavioral Health Care","Adult Core Set","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older",FUA/FUM-AD,"Percentage of Emergency Department (ED) Visits for Mental Illness with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 18-64",2018,Medicaid,Administrative,27.6,31,38.4,30.2,49.3,,"Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Alabama,"Behavioral Health Care","Adult Core Set","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older",FUA/FUM-AD,"Percentage of Emergency Department (ED) Visits for Mental Illness with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 18-64",2018,Medicaid,Administrative,40.3,31,54.5,45.3,59.3,,"Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Alabama,"Behavioral Health Care","Adult Core Set","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older",FUA/FUM-AD,"Percentage of Emergency Department (ED) Visits for Alcohol and Other Drug Abuse or Dependence with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 18-64",2018,Medicaid,Administrative,9.7,30,11.7,6.4,17.9,,"Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Alabama,"Behavioral Health Care","Adult Core Set","Follow-up After Emergency Department Visit for Mental Illness or Alcohol and Other Drug Abuse or Dependence: Age 18 and Older",FUA/FUM-AD,"Percentage of Emergency Department (ED) Visits for Alcohol and Other Drug Abuse or Dependence with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 18-64",2018,Medicaid,Administrative,11.4,30,17.1,10.7,27.5,,"Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
Alabama,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2018,Medicaid,Administrative,38.5,43,38,30.5,51,,"Rates include FFS and PCCM populations. Rates exclude Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2018 reporting cycle.",Yes
