State Name,County Name,FIPSST,FIPSCNTY,FIPS,SSAST,SSACNTY,SSA,Eligibles,Enrolled,Penetration
Alabama,Autauga,01,001,01001,01,000,01000,"11,498","6,480",56.36%
Alabama,Baldwin,01,003,01003,01,010,01010,"59,762","32,216",53.91%
Alabama,Barbour,01,005,01005,01,020,01020,"6,590","3,873",58.77%
Alabama,Bibb,01,007,01007,01,030,01030,"4,797","3,007",62.69%
Alabama,Blount,01,009,01009,01,040,01040,"12,850","8,456",65.81%
Alabama,Bullock,01,011,01011,01,050,01050,"2,039","1,510",74.06%
Alabama,Butler,01,013,01013,01,060,01060,"4,992","2,774",55.57%
Alabama,Calhoun,01,015,01015,01,070,01070,"27,707","13,053",47.11%
Alabama,Chambers,01,017,01017,01,080,01080,"8,976","4,915",54.76%
Alabama,Cherokee,01,019,01019,01,090,01090,"7,547","3,923",51.98%
Alabama,Chilton,01,021,01021,01,100,01100,"9,821","6,822",69.46%
Alabama,Choctaw,01,023,01023,01,110,01110,"3,817","1,821",47.71%
Alabama,Clarke,01,025,01025,01,120,01120,"6,321","3,896",61.64%
Alabama,Clay,01,027,01027,01,130,01130,"3,673","2,071",56.38%
Alabama,Cleburne,01,029,01029,01,140,01140,"3,579","1,514",42.30%
Alabama,Coffee,01,031,01031,01,150,01150,"11,261","5,027",44.64%
Alabama,Colbert,01,033,01033,01,160,01160,"14,440","7,203",49.88%
Alabama,Conecuh,01,035,01035,01,170,01170,"3,553","1,810",50.94%
Alabama,Coosa,01,037,01037,01,180,01180,"2,729","1,793",65.70%
Alabama,Covington,01,039,01039,01,190,01190,"10,006","4,800",47.97%
Alabama,Crenshaw,01,041,01041,01,200,01200,"3,660","2,015",55.05%
Alabama,Cullman,01,043,01043,01,210,01210,"20,603","10,730",52.08%
Alabama,Dale,01,045,01045,01,220,01220,"11,093","5,295",47.73%
Alabama,Dallas,01,047,01047,01,230,01230,"9,939","6,192",62.30%
Alabama,DeKalb,01,049,01049,01,240,01240,"16,066","7,596",47.28%
Alabama,Elmore,01,051,01051,01,250,01250,"18,773","10,098",53.79%
Alabama,Escambia,01,053,01053,01,260,01260,"8,817","4,948",56.12%
Alabama,Etowah,01,055,01055,01,270,01270,"25,787","15,159",58.79%
Alabama,Fayette,01,057,01057,01,280,01280,"4,904","2,050",41.80%
Alabama,Franklin,01,059,01059,01,290,01290,"6,563","2,837",43.23%
Alabama,Geneva,01,061,01061,01,300,01300,"6,919","3,555",51.38%
Alabama,Greene,01,063,01063,01,310,01310,"2,342","1,382",59.01%
Alabama,Hale,01,065,01065,01,320,01320,"4,121","2,164",52.51%
Alabama,Henry,01,067,01067,01,330,01330,"5,050","3,068",60.75%
Alabama,Houston,01,069,01069,01,340,01340,"24,969","13,673",54.76%
Alabama,Jackson,01,071,01071,01,350,01350,"13,346","6,130",45.93%
Alabama,Jefferson,01,073,01073,01,360,01360,"134,061","83,925",62.60%
Alabama,Lamar,01,075,01075,01,370,01370,"3,792","1,355",35.73%
Alabama,Lauderdale,01,077,01077,01,380,01380,"22,971","11,007",47.92%
Alabama,Lawrence,01,079,01079,01,390,01390,"7,951","4,113",51.73%
Alabama,Lee,01,081,01081,01,400,01400,"26,731","13,714",51.30%
Alabama,Limestone,01,083,01083,01,410,01410,"19,852","8,911",44.89%
Alabama,Lowndes,01,085,01085,01,420,01420,"2,932","2,098",71.56%
Alabama,Macon,01,087,01087,01,430,01430,"4,739","2,746",57.94%
Alabama,Madison,01,089,01089,01,440,01440,"71,963","28,903",40.16%
Alabama,Marengo,01,091,01091,01,450,01450,"5,434","2,789",51.32%
