"state","population","measure_abbreviation","state_rate","ffy"
"Mississippi","Medicaid","LDL-AD","70.6","2014"
"Alabama","Medicaid","BCS-AD","41.2","2014"
"Delaware","Medicaid","CHL-AD","72.6","2014"
"West Virginia","Medicaid","MPM-AD","85.9","2014"
"Minnesota","Medicaid","CHL-AD","52.2","2014"
"California","Medicaid","PPC-AD","48.7","2014"
"Michigan","Medicaid","CHL-AD","69.6","2014"
"Indiana","Medicaid","CHL-AD","53.8","2014"
"Texas","Medicaid","CHL-AD","60.4","2014"
"Delaware","Medicaid","AMM-AD","33.9","2014"
"Alabama","Medicaid","FUH-AD","34.8","2014"
"Texas","Medicaid","BCS-AD","51.4","2014"
"Montana","Medicaid","FUH-AD","63.3","2014"
"Montana","Medicaid","BCS-AD","46.8","2014"
"Delaware","Medicaid","CCS-AD","68","2014"
"Georgia","Medicaid","CCS-AD","52.6","2014"
"Georgia","Medicaid","ABA-AD","51.3","2014"
"Michigan","Medicaid","CCS-AD","66.1","2014"
"New Hampshire","Medicaid","BCS-AD","57.1","2014"
"Michigan","Medicaid","MPM-AD","81.6","2014"
"Texas","Medicaid","FUH-AD","56.1","2014"
"Massachusetts","Medicaid","CHL-AD","72.3","2014"
"Massachusetts","Medicaid","CCS-AD","73.5","2014"
"Mississippi","Medicaid","BCS-AD","41.8","2014"
"New York","Medicaid","AMM-AD","35.7","2014"
"New Hampshire","Medicaid","HA1C-AD","81.5","2014"
"New Hampshire","Medicaid","CCS-AD","58","2014"
"Massachusetts","Medicaid","BCS-AD","71.2","2014"
"Indiana","Medicaid","BCS-AD","55.5","2014"
"Arkansas","Medicaid","LDL-AD","57.8","2014"
"Alabama","Medicaid","FUH-AD","21","2014"
"Montana","Medicaid","HA1C-AD","63.5","2014"
"Delaware","Medicaid","LDL-AD","74","2014"
"Georgia","Medicaid","FUH-AD","38","2014"
"Michigan","Medicaid","HA1C-AD","79.2","2014"
"Arkansas","Medicaid","CCS-AD","39.5","2014"
"California","Medicaid","LDL-AD","57.9","2014"
"Arkansas","Medicaid","HA1C-AD","69.5","2014"
"Texas","Medicaid","PPC-AD","58.6","2014"
"New York","Medicaid","AMM-AD","47.8","2014"
"Delaware","Medicaid","PPC-AD","66.1","2014"
"Massachusetts","Medicaid","MPM-AD","86.1","2014"
"Mississippi","Medicaid","AMM-AD","31","2014"
"Indiana","Medicaid","PPC-AD","54.1","2014"
"Indiana","Medicaid","CCS-AD","58.2","2014"
"New York","Medicaid","FUH-AD","50.1","2014"
"Montana","Medicaid","MPM-AD","82.3","2014"
"Iowa","Medicaid","AMM-AD","19.7","2014"
"Mississippi","Medicaid","HA1C-AD","78.3","2014"
"New York","Medicaid","CHL-AD","69.4","2014"
"Texas","Medicaid","AMM-AD","31.2","2014"
"Alabama","Medicaid","CCS-AD","35.2","2014"
"Massachusetts","Medicaid","ABA-AD","89","2014"
"Pennsylvania","Medicaid","FUH-AD","64.3","2014"
"Iowa","Medicaid","FUH-AD","52.4","2014"
"Massachusetts","Medicaid","FUH-AD","83.9","2014"
"New Hampshire","Medicaid","FUH-AD","44","2014"
"Montana","Medicaid","AMM-AD","41","2014"
"Iowa","Medicaid","HA1C-AD","81.4","2014"
"Texas","Medicaid","FUH-AD","33.6","2014"
"Pennsylvania","Medicaid","CCS-AD","67.2","2014"
"Arkansas","Medicaid","PPC-AD","20.2","2014"
"California","Medicaid","AMM-AD","52","2014"
"Georgia","Medicaid","AMM-AD","38.1","2014"
"Alabama","Medicaid","LDL-AD","64.4","2014"
"Indiana","Medicaid","MPM-AD","84.9","2014"
"Massachusetts","Medicaid","AMM-AD","30.7","2014"
"California","Medicaid","CHL-AD","65.1","2014"
"Arkansas","Medicaid","AMM-AD","24.9","2014"
"Indiana","Medicaid","HA1C-AD","76.5","2014"
"Pennsylvania","Medicaid","CHL-AD","64.9","2014"
"Pennsylvania","Medicaid","HA1C-AD","84.6","2014"
"Texas","Medicaid","CCS-AD","50","2014"
"Georgia","Medicaid","FUH-AD","57.9","2014"
"Connecticut","Medicaid","FUH-AD","38.2","2014"
"Georgia","Medicaid","MPM-AD","87.1","2014"
"Georgia","Medicaid","PPC-AD","37.4","2014"
"Texas","Medicaid","LDL-AD","78.4","2014"
"New Hampshire","Medicaid","AMM-AD","54.9","2014"
"Texas","Medicaid","ABA-AD","73.9","2014"
"Mississippi","Medicaid","AMM-AD","43.1","2014"
"Montana","Medicaid","LDL-AD","53.4","2014"
"West Virginia","Medicaid","CCS-AD","58.5","2014"
"Michigan","Medicaid","AMM-AD","28.6","2014"
"Arkansas","Medicaid","CHL-AD","53","2014"
"Connecticut","Medicaid","CHL-AD","70.5","2014"
"New Hampshire","Medicaid","FUH-AD","66.3","2014"
"Arkansas","Medicaid","MPM-AD","79.7","2014"
"Montana","Medicaid","FUH-AD","73.9","2014"
"Pennsylvania","Medicaid","PPC-AD","63.9","2014"
"Massachusetts","Medicaid","HA1C-AD","89.6","2014"
"Delaware","Medicaid","FUH-AD","57.2","2014"
"Indiana","Medicaid","AMM-AD","47.2","2014"
"Alabama","Medicaid","HA1C-AD","72.1","2014"
"Massachusetts","Medicaid","AMM-AD","44.5","2014"
"Montana","Medicaid","CHL-AD","49.2","2014"
"Montana","Medicaid","PPC-AD","78.7","2014"
"Alabama","Medicaid","CHL-AD","40.2","2014"
"New York","Medicaid","BCS-AD","68.8","2014"
"Pennsylvania","Medicaid","BCS-AD","63.7","2014"
"Delaware","Medicaid","FUH-AD","36","2014"
"Alabama","Medicaid","PPC-AD","90","2014"
"Delaware","Medicaid","HA1C-AD","80.7","2014"
"Indiana","Medicaid","ABA-AD","7.7","2014"
"West Virginia","Medicaid","HA1C-AD","76.3","2014"
"Pennsylvania","Medicaid","LDL-AD","79.1","2014"
"Michigan","Medicaid","BCS-AD","61.2","2014"
"Minnesota","Medicaid","CCS-AD","61.7","2014"
"Michigan","Medicaid","ABA-AD","19.4","2014"
"Iowa","Medicaid","LDL-AD","62.6","2014"
"Pennsylvania","Medicaid","AMM-AD","34.3","2014"
"Georgia","Medicaid","BCS-AD","32.9","2014"
"Arkansas","Medicaid","FUH-AD","33.6","2014"
"New Hampshire","Medicaid","PPC-AD","63.4","2014"
"Georgia","Medicaid","LDL-AD","61.1","2014"
"Georgia","Medicaid","AMM-AD","52.9","2014"
"Texas","Medicaid","AMM-AD","44.9","2014"
"Montana","Medicaid","AMM-AD","23.8","2014"
"Iowa","Medicaid","MPM-AD","84.4","2014"
"New York","Medicaid","FUH-AD","35.2","2014"
"Indiana","Medicaid","AMM-AD","27","2014"
"Delaware","Medicaid","AMM-AD","51.6","2014"
"Delaware","Medicaid","ABA-AD","83.1","2014"
"Arkansas","Medicaid","FUH-AD","57.4","2014"
"Michigan","Medicaid","AMM-AD","57.5","2014"
"California","Medicaid","MPM-AD","68.4","2014"
"New York","Medicaid","HA1C-AD","80.5","2014"
"Pennsylvania","Medicaid","AMM-AD","48.8","2014"
"New Hampshire","Medicaid","AMM-AD","36.7","2014"
"California","Medicaid","CCS-AD","55.6","2014"
"Michigan","Medicaid","LDL-AD","71.9","2014"
"Indiana","Medicaid","FUH-AD","64.9","2014"
"Massachusetts","Medicaid","FUH-AD","65.3","2014"
"Mississippi","Medicaid","MPM-AD","82","2014"
"Iowa","Medicaid","CCS-AD","66.9","2014"
"Montana","Medicaid","CCS-AD","44.7","2014"
"New York","Medicaid","ABA-AD","85.7","2014"
"Connecticut","Medicaid","BCS-AD","61.8","2014"
"Arkansas","Medicaid","AMM-AD","40.8","2014"
"Mississippi","Medicaid","FUH-AD","25.5","2014"
"Iowa","Medicaid","AMM-AD","36.1","2014"
"Pennsylvania","Medicaid","MPM-AD","83.6","2014"
"Georgia","Medicaid","CHL-AD","60.8","2014"
"Mississippi","Medicaid","FUH-AD","49.7","2014"
"Georgia","Medicaid","HA1C-AD","68.8","2014"
"Pennsylvania","Medicaid","ABA-AD","81.2","2014"
"Alabama","Medicaid","ABA-AD","4","2014"
"Alabama","Medicaid","AMM-AD","21.8","2014"
"Connecticut","Medicaid","CCS-AD","66.9","2014"
"California","Medicaid","AMM-AD","65","2014"
"Iowa","Medicaid","CHL-AD","56.9","2014"
"Arkansas","Medicaid","BCS-AD","37.7","2014"
"Mississippi","Medicaid","CHL-AD","53.1","2014"
"Alabama","Medicaid","AMM-AD","38.6","2014"
"New York","Medicaid","PPC-AD","69.9","2014"
"Indiana","Medicaid","LDL-AD","65.5","2014"
"Iowa","Medicaid","PPC-AD","76","2014"
"New Hampshire","Medicaid","LDL-AD","69.1","2014"
"New Hampshire","Medicaid","MPM-AD","84.7","2014"
"Mississippi","Medicaid","PPC-AD","61.9","2014"
"New York","Medicaid","MPM-AD","85.8","2014"
"Iowa","Medicaid","FUH-AD","38","2014"
"Delaware","Medicaid","BCS-AD","53.4","2014"
"Mississippi","Medicaid","ABA-AD","59.4","2014"
"West Virginia","Medicaid","PPC-AD","62.7","2014"
"Mississippi","Medicaid","CCS-AD","50.7","2014"
"Indiana","Medicaid","FUH-AD","72.6","2014"
"Pennsylvania","Medicaid","FUH-AD","43.6","2014"
"New York","Medicaid","CCS-AD","69.2","2014"
"New York","Medicaid","LDL-AD","76.3","2014"
"Massachusetts","Medicaid","LDL-AD","79.4","2014"
"California","Medicaid","BCS-AD","65.3","2014"
"Iowa","Medicaid","BCS-AD","47","2014"
"West Virginia","Medicaid","LDL-AD","64.2","2014"
"California","Medicaid","HA1C-AD","65","2014"
"Texas","Medicaid","HA1C-AD","82.4","2014"
"Connecticut","Medicaid","FUH-AD","56.9","2014"
"Texas","Medicaid","MPM-AD","88.8","2014"
"Delaware","Medicaid","MPM-AD","82.9","2014"
"Massachusetts","Medicaid","PPC-AD","69.8","2014"
"Alabama","Medicaid","CCS-AD","39.5","2015"
"New Hampshire","Medicaid","CCS-AD","55.9","2015"
"Texas","Medicaid","CCS-AD","55","2015"
"Tennessee","Medicaid","IET-AD","37.2","2015"
"Texas","Medicaid","ABA-AD","78.1","2015"
"New York","Medicaid","AMM-AD","36.5","2015"
"North Carolina","Medicaid","BCS-AD","34.8","2015"
"Alabama","Medicaid","SAA-AD","58.1","2015"
"Mississippi","Medicaid","AMM-AD","48.8","2015"
"Pennsylvania","Medicaid","FUH-AD","64.2","2015"
"New Mexico","Medicaid","HA1C-AD","63.1","2015"
"Massachusetts","Medicaid","IET-AD","44.8","2015"
"Michigan","Medicaid","ABA-AD","28.7","2015"
"South Carolina","Medicaid","SAA-AD","62.4","2015"
"Connecticut","Medicaid","CCS-AD","66.1","2015"
"Texas","Medicaid","FUH-AD","36.5","2015"
"North Carolina","Medicaid","AMM-AD","44.5","2015"
"Connecticut","Medicaid","SAA-AD","68.7","2015"
"Louisiana","Medicaid","CHL-AD","62.2","2015"
"Alabama","Medicaid","ABA-AD","7.2","2015"
"California","Medicaid","HA1C-AD","82.7","2015"
"Pennsylvania","Medicaid","CHL-AD","64.2","2015"
"Mississippi","Medicaid","IET-AD","4.9","2015"
"Texas","Medicaid","HA1C-AD","86.2","2015"
"South Carolina","Medicaid","MPM-AD","82.9","2015"
"Tennessee","Medicaid","BCS-AD","54.1","2015"
"Texas","Medicaid","SAA-AD","58","2015"
"Iowa","Medicaid","SAA-AD","70.1","2015"
"Connecticut","Medicaid","BCS-AD","61.8","2015"
"South Carolina","Medicaid","BCS-AD","29.8","2015"
"Mississippi","Medicaid","PPC-AD","61.4","2015"
"New York","Medicaid","HA1C-AD","82.3","2015"
"Tennessee","Medicaid","AMM-AD","31.4","2015"
"Arizona","Medicaid","PPC-AD","22.8","2015"
"Massachusetts","Medicaid","BCS-AD","72.3","2015"
"North Carolina","Medicaid","SAA-AD","61.6","2015"
"Iowa","Medicaid","IET-AD","43.6","2015"
"California","Medicaid","AMM-AD","39.2","2015"
"California","Medicaid","FUH-AD","56.1","2015"
"New Mexico","Medicaid","AMM-AD","21.7","2015"
"Tennessee","Medicaid","PPC-AD","58.7","2015"
"Alabama","Medicaid","AMM-AD","37.3","2015"
"North Carolina","Medicaid","AMM-AD","29.4","2015"
"Iowa","Medicaid","FUH-AD","45.6","2015"
"Massachusetts","Medicaid","SAA-AD","68.3","2015"
"Mississippi","Medicaid","CHL-AD","63.5","2015"
"Tennessee","Medicaid","IET-AD","9.8","2015"
"Tennessee","Medicaid","MPM-AD","90.3","2015"
"Mississippi","Medicaid","AMM-AD","34.3","2015"
"Pennsylvania","Medicaid","MPM-AD","87.1","2015"
"Massachusetts","Medicaid","CCS-AD","68.8","2015"
"Mississippi","Medicaid","HA1C-AD","81.7","2015"
"Michigan","Medicaid","PPC-AD","54.6","2015"
"New York","Medicaid","FUH-AD","40.5","2015"
"Arkansas","Medicaid","AMM-AD","33.3","2015"
"Pennsylvania","Medicaid","FUH-AD","44","2015"
"Massachusetts","Medicaid","FUH-AD","81.4","2015"
"South Carolina","Medicaid","FUH-AD","45.7","2015"
"Texas","Medicaid","FUH-AD","61.1","2015"
"Alabama","Medicaid","PPC-AD","68.7","2015"
"New Mexico","Medicaid","PPC-AD","25.1","2015"
"California","Medicaid","MPM-AD","84.4","2015"
"North Carolina","Medicaid","ABA-AD","8.3","2015"
"South Carolina","Medicaid","FUH-AD","68.7","2015"
"North Carolina","Medicaid","IET-AD","24.9","2015"
"Texas","Medicaid","CHL-AD","60.1","2015"
"Pennsylvania","Medicaid","SAA-AD","71.7","2015"
"Massachusetts","Medicaid","AMM-AD","46.7","2015"
"New York","Medicaid","MPM-AD","87.2","2015"
"Arkansas","Medicaid","SAA-AD","59.2","2015"
"New Mexico","Medicaid","AMM-AD","41.5","2015"
"Michigan","Medicaid","AMM-AD","49.7","2015"
"Alabama","Medicaid","CHL-AD","33.1","2015"
"Mississippi","Medicaid","FUH-AD","41.2","2015"
"California","Medicaid","FUH-AD","67.1","2015"
"Tennessee","Medicaid","AMM-AD","48.6","2015"
"Mississippi","Medicaid","CCS-AD","56.1","2015"
"Alabama","Medicaid","AMM-AD","20.2","2015"
"New York","Medicaid","IET-AD","21","2015"
"Pennsylvania","Medicaid","CCS-AD","66.1","2015"
"North Carolina","Medicaid","CCS-AD","41.4","2015"
"Pennsylvania","Medicaid","PPC-AD","62.2","2015"
"South Carolina","Medicaid","ABA-AD","8.4","2015"
"Massachusetts","Medicaid","HA1C-AD","89.4","2015"
"Michigan","Medicaid","CHL-AD","68.2","2015"
"New Mexico","Medicaid","ABA-AD","5.3","2015"
"Massachusetts","Medicaid","CHL-AD","72.2","2015"
"Michigan","Medicaid","CCS-AD","70.2","2015"
"Texas","Medicaid","IET-AD","34.9","2015"
"Ohio","Medicaid","CHL-AD","56","2015"
"Delaware","Medicaid","CHL-AD","63","2015"
"Mississippi","Medicaid","MPM-AD","85.7","2015"
"California","Medicaid","BCS-AD","50.5","2015"
"Tennessee","Medicaid","SAA-AD","59.7","2015"
"Pennsylvania","Medicaid","AMM-AD","37.2","2015"
"Massachusetts","Medicaid","FUH-AD","67.4","2015"
"Texas","Medicaid","MPM-AD","92.1","2015"
"Tennessee","Medicaid","CHL-AD","55.9","2015"
"New Mexico","Medicaid","SAA-AD","54.8","2015"
"Iowa","Medicaid","FUH-AD","31.2","2015"
"New York","Medicaid","BCS-AD","68.9","2015"
"Arkansas","Medicaid","AMM-AD","17.3","2015"
"North Carolina","Medicaid","MPM-AD","88.3","2015"
"New York","Medicaid","SAA-AD","61.5","2015"
"Pennsylvania","Medicaid","ABA-AD","83","2015"
"Tennessee","Medicaid","HA1C-AD","81.9","2015"
"South Carolina","Medicaid","IET-AD","32.2","2015"
"Arkansas","Medicaid","CHL-AD","52.9","2015"
"California","Medicaid","SAA-AD","71.5","2015"
"Pennsylvania","Medicaid","IET-AD","20.1","2015"
"New York","Medicaid","CCS-AD","66.6","2015"
"Mississippi","Medicaid","FUH-AD","57.1","2015"
"California","Medicaid","IET-AD","36.2","2015"
"New Mexico","Medicaid","FUH-AD","50.9","2015"
"Alabama","Medicaid","FUH-AD","10.8","2015"
"North Carolina","Medicaid","IET-AD","8.6","2015"
"Michigan","Medicaid","AMM-AD","34.2","2015"
"New York","Medicaid","IET-AD","49.1","2015"
"South Carolina","Medicaid","CHL-AD","54.3","2015"
"Pennsylvania","Medicaid","AMM-AD","51.9","2015"
"Massachusetts","Medicaid","AMM-AD","32.6","2015"
"Nevada","Medicaid","HA1C-AD","83","2015"
"North Carolina","Medicaid","HA1C-AD","77.6","2015"
"California","Medicaid","CCS-AD","49.3","2015"
"Massachusetts","Medicaid","PPC-AD","69.3","2015"
"Texas","Medicaid","AMM-AD","30.4","2015"
"South Carolina","Medicaid","PPC-AD","54.7","2015"
"Mississippi","Medicaid","BCS-AD","46.4","2015"
"Iowa","Medicaid","CCS-AD","65.2","2015"
"Pennsylvania","Medicaid","HA1C-AD","85.5","2015"
"Tennessee","Medicaid","FUH-AD","75.9","2015"
"Texas","Medicaid","IET-AD","4.9","2015"
"Pennsylvania","Medicaid","BCS-AD","63.3","2015"
"Alabama","Medicaid","BCS-AD","48.8","2015"
"Michigan","Medicaid","MPM-AD","82.7","2015"
"New Mexico","Medicaid","BCS-AD","53.5","2015"
"Louisiana","Medicaid","BCS-AD","51.1","2015"
"California","Medicaid","PPC-AD","55.5","2015"
"North Carolina","Medicaid","CHL-AD","64.5","2015"
"Massachusetts","Medicaid","MPM-AD","86","2015"
"Texas","Medicaid","BCS-AD","52.6","2015"
"New Mexico","Medicaid","CHL-AD","50.1","2015"
"Michigan","Medicaid","BCS-AD","59.9","2015"
"Mississippi","Medicaid","IET-AD","32.7","2015"
