State,Domain,"Reporting Program","Measure Name","Measure Abbreviation","Rate Definition",FFY,Population,Methodology,"State Rate","Number of States Reporting",Median,"Bottom Quartile","Top Quartile",Notes,"State Specific Comments",Source,Location
Nebraska,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening: Ages 21-64",CCS-AD,"Percentage of Women Screened for Cervical Cancer: Ages 21-64 Years",2017,"Medicaid & CHIP & Dual Eligibles",Administrative,62.4,40,55.0,48.4,60.1,,"Rate includes FFS and managed care populations (3 MCOs).","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Nebraska
(41.527099, -99.810595)"
Oklahoma,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 15: Asthma in Younger Adults Admission Rate: Ages 18-39",PQI15-AD,"Inpatient Hospital Admissions for Asthma per 100,000 Enrollee-Months: Ages 18-39",2017,"Medicaid & CHIP & Dual Eligibles",Administrative,14.9,26,5.8,8.8,4.0,,"Rate includes FFS and PCCM populations. Rate excludes home- and community-based services waiver enrollees.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Oklahoma
(35.583449, -97.508297)"
Delaware,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) who had a Hemoglobin A1c (HbA1c) Test: Ages 18-64",2017,"Medicaid & Dual Eligibles",Hybrid,77.9,38,84.5,78.4,87.4,,"Rate includes managed care population (2 MCOs), representing 90 percent of the population. Rate excludes FFS population, representing 10 percent of the population. Denominator is the sample size; measure-eligible population is 7,262.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Delaware
(38.994926, -75.452394)"
Kentucky,"Behavioral Health Care","Adult Core Set","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64",SSD-AD,"Percentage with Schizophrenia or Bipolar Disorder who were Dispensed an Antipsychotic Medication and had a Diabetes Screening Test: Ages 18-64",2017,"Medicaid & Dual Eligibles",Administrative,81.8,30,78.9,73.6,80.6,,"Rate includes managed care population (5 MCOs), representing 90 percent of the population. Rate excludes FFS population, representing 10 percent of the population. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Kentucky
(37.526683, -85.290484)"
Oklahoma,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 08: Heart Failure Admission Rate: Age 18 and Older",PQI08-AD,"Inpatient Hospital Admissions for Heart Failure per 100,000 Enrollee Months: Ages 18-64",2017,"Medicaid & CHIP & Dual Eligibles",Administrative,24.5,25,21.9,30.8,16.4,,"Rate includes FFS and PCCM populations. Rate excludes home- and community-based services waiver enrollees.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Oklahoma
(35.583449, -97.508297)"
"New Jersey","Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64 Years",2017,"Medicaid & CHIP",Hybrid,90.3,32,78.6,27.6,87.7,,"Rate includes managed care population (4 MCOs) ages 18 to 74, representing 45 percent of the population. Rate excludes enrollees in one MCO and the FFS population, representing 55 percent of the population, and Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 113,031.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","New Jersey
(40.110253, -74.655514)"
Iowa,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older",PQI01-AD,"Inpatient Hospital Admissions for Diabetes Short-Term Complications per 100,000 Enrollee Months: Ages 18-64",2017,Medicaid,Administrative,39.9,29,18.0,23.4,14.1,,"Rate includes FFS and managed care populations (3 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. State did not use Major Diagnostic Category (MDC) Code Admit = 14 (Pregnancy, Childbirth, and Puerperium), and instead used the ICD 9 and 10 diagnosis codes in the Pregnancy Value Set. State did not use admission source codes for transfers from other hospitals or health facilities (including long-term care), and instead used codes for transfers from an ambulatory surgical center and transfers from hospice in the Point of Origin field of claims.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Iowa
(42.074659, -93.500061)"
Iowa,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 05: Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate: Age 40 and Older",PQI05-AD,"Inpatient Hospital Admissions for Chronic Obstructive Pulmonary Disease (COPD) or Asthma per 100,00 Enrollee Months: Ages 40-64",2017,Medicaid,Administrative,87.2,25,70.4,100.5,52.8,,"Rate includes FFS and managed care populations (3 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. State replaced codes for the numerator with the following Value Sets: Acute Inpatient, COPD, and Asthma. State did not use Major Diagnostic Category (MDC) Code Admit =14 (Pregnancy, Childbirth, and Puerperium), and instead used the Pregnancy and Pregnancy Diagnosis Value Sets. State did not use Diagnosis-Related Group (DRG) Grouper for cystic fibrosis or anomalies of the respiratory system, and instead used the Cystic Fibrosis Value Set. State did not use admission source codes for transfers from other hospitals or health facilities (including long-term care), and instead used codes for transfers from an ambulatory surgical center and transfers from hospice in the Point of Origin claims field.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Iowa
(42.074659, -93.500061)"
Missouri,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 21-64",2017,"Medicaid & CHIP",Administrative,48.3,43,63.6,54.8,74.6,,"Rates include FFS and managed care populations (3 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Missouri
(38.3675, -92.477244)"
Colorado,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2017,Medicaid,Administrative,84.7,36,86.8,85.0,89.0,,"Rate includes FFS, PCCM, and managed care populations (3 MCOs) age 18 and older. Rate excludes Medicare-Medicaid Dual Eligibles. MCO rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Colorado
(38.998552, -105.547832)"
