State,Domain,"Reporting Program","Measure Name","Measure Abbreviation","Measure Type","Rate Definition",FFY,Population,Methodology,"State Rate","Number of States Reporting",Median,"Bottom Quartile","Top Quartile",Notes,Source,"State-Specific Comments","Rate Used in Calculating State Mean and Median"
Alabama,"Behavioral Health Care","Child Core Set","Follow-Up After Emergency Department Visit for Alcohol and Other Drug Abuse or Dependence: Ages 13 to 17",FUA-CH,"Higher rates are better for this measure","Percentage of Emergency Department (ED) Visits for Alcohol and Other Drug Abuse or Dependence with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 13 to 17",2022,"Medicaid only",Administrative,DS,25,10.6,6.0,16.3,"DS = Data suppressed because data cannot be displayed per the Centers for Medicare & Medicaid Services' cell-size suppression policy, which prohibits the direct reporting of data for beneficiary and record counts of 1 to 10 and values from which users can derive values of 1 to 10.","Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.","Medicaid rate includes FFS and PCCM populations. State reported that rate excludes the following populations: ""Since Medicare claims are unavailable, Alabama Medicaid Agency recipients who are dually enrolled in Medicaid and Medicare are excluded from the eligible population.""",No
Alabama,"Behavioral Health Care","Child Core Set","Follow-Up After Emergency Department Visit for Alcohol and Other Drug Abuse or Dependence: Ages 13 to 17",FUA-CH,"Higher rates are better for this measure","Percentage of Emergency Department (ED) Visits for Alcohol and Other Drug Abuse or Dependence with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 13 to 17",2022,"CHIP only",Administrative,#,25,10.6,6.0,16.3,"# = Rate not reported because denominator is less than 30","Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.","CHIP rate includes FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,"Behavioral Health Care","Child Core Set","Follow-Up After Emergency Department Visit for Mental Illness: Ages 6 to 17",FUM-CH,"Higher rates are better for this measure","Percentage of Emergency Department (ED) Visits for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 6 to 17",2022,"Medicaid only",Administrative,45.3,40,54.6,46.2,65.4,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.","Medicaid rates include FFS and PCCM populations. State reported that rates exclude the following populations: ""Since Medicare claims are unavailable, Alabama Medicaid Agency recipients who are dually enrolled in Medicaid and Medicare are excluded from the eligible population.""",Yes
Alabama,"Behavioral Health Care","Child Core Set","Follow-Up After Emergency Department Visit for Mental Illness: Ages 6 to 17",FUM-CH,"Higher rates are better for this measure","Percentage of Emergency Department (ED) Visits for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 6 to 17",2022,"Medicaid only",Administrative,61.6,40,72.7,63.6,76.9,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.","Medicaid rates include FFS and PCCM populations. State reported that rates exclude the following populations: ""Since Medicare claims are unavailable, Alabama Medicaid Agency recipients who are dually enrolled in Medicaid and Medicare are excluded from the eligible population.""",Yes
Alabama,"Behavioral Health Care","Child Core Set","Follow-Up After Emergency Department Visit for Mental Illness: Ages 6 to 17",FUM-CH,"Higher rates are better for this measure","Percentage of Emergency Department (ED) Visits for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days of the ED Visit: Ages 6 to 17",2022,"CHIP only",Administrative,38.1,40,54.6,46.2,65.4,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.","CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,"Behavioral Health Care","Child Core Set","Follow-Up After Emergency Department Visit for Mental Illness: Ages 6 to 17",FUM-CH,"Higher rates are better for this measure","Percentage of Emergency Department (ED) Visits for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days of the ED Visit: Ages 6 to 17",2022,"CHIP only",Administrative,61.9,40,72.7,63.6,76.9,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.","CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,"Behavioral Health Care","Child Core Set","Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17",FUH-CH,"Higher rates are better for this measure","Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days after Discharge: Ages 6 to 17",2022,"Medicaid only",Administrative,42.9,48,47.9,40.1,57.5,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.","Medicaid rates include FFS and PCCM populations. State reported that rates exclude the following populations: ""Since Medicare claims are unavailable, Alabama Medicaid Agency recipients who are dually enrolled in Medicaid and Medicare are excluded from the eligible population.""",Yes
Alabama,"Behavioral Health Care","Child Core Set","Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17",FUH-CH,"Higher rates are better for this measure","Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days after Discharge: Ages 6 to 17",2022,"Medicaid only",Administrative,66.5,48,70.4,62.1,79.6,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.","Medicaid rates include FFS and PCCM populations. State reported that rates exclude the following populations: ""Since Medicare claims are unavailable, Alabama Medicaid Agency recipients who are dually enrolled in Medicaid and Medicare are excluded from the eligible population.""",Yes
Alabama,"Behavioral Health Care","Child Core Set","Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17",FUH-CH,"Higher rates are better for this measure","Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 7 Days after Discharge: Ages 6 to 17",2022,"CHIP only",Administrative,43.8,48,47.9,40.1,57.5,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.","CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
Alabama,"Behavioral Health Care","Child Core Set","Follow-Up After Hospitalization for Mental Illness: Ages 6 to 17",FUH-CH,"Higher rates are better for this measure","Percentage of Hospitalizations for Mental Illness or Intentional Self-Harm with a Follow-Up Visit Within 30 Days after Discharge: Ages 6 to 17",2022,"CHIP only",Administrative,71.6,48,70.4,62.1,79.6,,"Mathematica analysis of the Quality Measure Reporting (QMR) system reports for the FFY 2022 reporting cycle as of June 1, 2023.","CHIP rates include FFS population. The state described the ""other"" data sources used to calculate the measure as the following: ""Separate CHIP claims data.""",No
